Country,2017,2016,2015,2014,2013,2012,2011,2010
Global,219001657,216654765,214170951,217072770,220965004,226444288,229088588,238785725
Afghanistan,630308,614491,369809,284198,213914,278223,454823,353343
Angola,4615605,4485050,4303582,3768087,3384997,3111760,3040461,3125901
Bangladesh,32924,31169,44948,53948,25019,35333,102302,113895
Benin,4111699,4007210,3787806,3387590,3219441,3307673,3515943,3713395
Bolivia,6512,7894,9792,11512,11356,11534,10175,19614
Botswana,2989,1150,519,2065,725,302,678,3072
Brazil,217928,133591,158963,146675,194191,255662,281346,384655
BurkinaFaso,7907562,7675183,7770245,8258938,8736057,9228345,9320362,9221846
Burundi,2113066,2053294,1957365,1688069,1539318,1501315,1546912,1608931
Cambodia,208273,127552,224858,247065,173259,266576,376898,361377
Cameroon,7307515,7176158,7223417,7282873,6960282,6168031,5462230,5361329
C.A.R.,1804550,1780632,1758188,1786895,1885599,2023795,2118745,2140887
Chad,2779489,2689908,2690084,2797275,2947833,3296088,3565593,3594883
Colombia,80357,115125,72460,56815,72044,83866,83763,163874
Comoros,3230,1143,1300,2203,53156,49840,24856,36538
Congo,1039706,1030697,1044034,1017800,975903,916492,861145,835820
Ivory Coast,3373486,3319810,3395695,3592810,4332409,5908246,7525922,7939844
DREP Korea,2184,2719,773,10535,14407,21850,16760,13520
DREP Congo,25021891,24454696,24159871,23031390,22488362,22281939,22535174,23691683
Djibouti,15265,13804,9473,9439,1684,25,0,1010
DominicanRepublic,405,896,751,546,720,1185,2010,4247
Ecuador,1275,1191,618,242,368,544,1219,1888
EquatorialGuinea,435143,427357,418770,413388,496542,490132,481385,381639
Eritrea,115928,86561,64176,109689,49309,52483,76678,83471
Ethiopia,2666954,2927266,3632424,3825848,5173952,5237442,5094685,7701107
Gabon,341980,334796,333155,341474,339163,326053,309019,285725
Gambia,119044,253981,412588,291528,471968,531834,483793,465479
Ghana,7805045,7652909,7513657,8113023,8552123,9004550,9251148,9171294
Guatemala,4739,6120,8621,7170,7886,6793,8638,9545
Guinea,4282165,4197876,4205085,4255458,4344956,4452801,4455792,4348149
Guinea-Bissau,107972,105441,106338,103918,102461,102959,113666,122027
Guyana,24913,22108,17848,22085,56946,43311,40880,32656
Haiti,32011,35105,31181,31950,48004,58234,79329,82766
Honduras,1695,5934,4745,4484,7205,8544,9969,13106
India,9590000,12630000,12200000,11420000,11210000,14220000,17520000,20490000
Indonesia,1530566,1293337,1284900,1492130,2033858,2473705,2488590,2730079
Iran,60,81,167,358,479,756,1632,1847
Kenya,3520384,3452117,3455175,3916556,3754660,3252855,2930265,2845913
Laos,20712,28152,79592,105109,80695,98137,36513,40528
Liberia,911333,898524,903748,877199,907189,1033327,1253129,1295630
Madagascar,2324289,1692049,2840141,1303958,1813487,1824487,841836,937413
Malawi,4303543,4223467,4102579,4161861,4169285,4317650,4476529,4602005
Malaysia,85,266,242,3147,2921,3662,3954,5194
Mali,7160192,6902717,6833022,7468113,7448756,6961475,6279267,5772983
Mauritania,238272,298498,249961,193933,127145,105626,171669,128567
Mexico,736,551,517,656,495,833,1124,1226
Mozambique,10025823,9753050,9496089,9425097,9644363,9576806,8930459,8455521
Myanmar,116772,262577,425073,480112,709051,1898175,1322336,2019172
Namibia,89611,41608,20092,26278,8109,5884,3671,2601
Nepal,3829,2754,4084,4933,10326,13227,24062,30690
Nicaragua,13711,7854,2853,1430,1455,1546,1158,866
Niger,7702777,7457829,7397212,7700900,7780901,7660985,7323097,7007707
Nigeria,53667565,52357005,52697962,59365039,62020888,61587135,60529456,60749349
Pakistan,956280,1202476,992605,1373352,1419225,1652576,1905938,1445704
Panama,808,817,580,1016,758,896,376,444
PapuaNewGuinea,1500657,1469150,1066533,1931287,1677722,1414839,1045967,1240109
Peru,70745,71056,91640,81884,61137,39448,30122,37121
Philippines,15253,16173,26726,14293,17718,19379,24222,54209
RepublicofKorea,436,602,627,557,383,394,505,1267
Rwanda,6172220,6608358,3799535,2405272,1304560,748975,401794,1260186
SaoTomeandPrincipe,2239,2238,2058,1754,9243,12550,8442,2740
SaudiArabia,177,272,83,30,34,82,69,29
Senegal,1024285,836561,1176494,673074,1126085,835134,709373,792643
SierraLeone,2869588,2796045,2727461,2683566,2717309,2849037,3006695,3031470
SolomonIslands,103482,84451,39916,30591,53689,52221,62676,91425
Somalia,541768,528591,514253,430886,366378,310864,301405,356323
SouthAfrica,22517,4323,1157,11705,8645,5629,9866,8060
SouthSudan,1781704,1739256,1805509,1668785,1707171,1818297,1939487,1940101
SriLanka,0,0,0,0,0,23,124,684
Sudan,1517910,1484475,1476591,1293793,1115132,993585,951357,961960
Suriname,40,76,81,401,729,356,771,1712
Thailand,11043,13451,17427,37921,33302,32569,24897,32480
Timor-Leste,36,148,141,567,1709,7821,33063,103604
Togo,2891868,2862933,2800982,2626144,2484119,2399812,2350507,2366948
Uganda,8600724,8425793,8182789,7040282,7407982,9074100,10686032,11503116
Tanzania,6477825,6317222,6085465,5927919,5792430,5851532,6300351,6545932
Vanuatu,2270,4184,788,2431,5334,8408,11651,15695
Venezuela,519109,303471,172036,114404,99809,67122,58086,57257
VietNam,5481,5024,11283,19060,20760,23838,20206,23062
Yemen,762995,667967,1022338,1168534,707544,849989,792458,1134927
Zambia,3475522,3387771,3347169,3534876,3355470,2681660,2298064,2169307
Zimbabwe,1239430,740192,1081888,1093731,863883,592186,718725,1095083
