week,searches
1,1
2,1
3,1
4,2
5,2
6,2
7,2
8,2
9,3
10,4
11,9
12,13
13,20
14,26
15,65
16,67
17,72
18,87
19,10
20,4
21,2
22,2
23,1
24,2
25,2
26,2
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,2
56,2
57,2
58,2
59,2
60,4
61,5
62,5
63,13
64,16
65,19
66,29
67,46
68,56
69,67
70,88
71,8
72,3
73,2
74,2
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,2
106,2
107,1
108,2
109,2
110,3
111,3
112,3
113,5
114,6
115,12
116,13
117,20
118,34
119,49
120,57
121,71
122,100
123,43
124,12
125,3
126,3
127,2
128,1
129,2
130,1
131,1
132,1
133,1
134,1
135,2
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,2
146,2
147,1
148,1
149,1
150,1
151,1
152,1
153,2
154,1
155,1
156,1
157,1
158,2
159,2
160,2
161,2
162,3
163,3
164,3
165,4
166,5
167,12
168,17
169,22
170,30
171,44
172,57
173,58
174,73
175,51
176,6
177,2
178,2
179,1
180,1
181,1
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,1
198,1
199,1
200,1
201,1
202,1
203,1
204,1
205,2
206,1
207,1
208,1
209,1
210,2
211,1
212,2
213,2
214,2
215,3
216,3
217,4
218,5
219,9
220,15
221,22
222,29
223,40
224,58
225,55
226,61
227,62
228,6
229,2
230,2
231,1
232,1
233,1
234,1
235,1
236,1
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,1
249,1
250,1
251,1
252,1
253,1
254,1
255,1
256,1
257,1
258,1
259,1
260,1
261,1
